,Title,Listed count,Author
379,Brighton Rock,6.0,Graham Greene
380,The End of the Affair,6.0,Graham Greene
381,Invisible Cities,6.0,Italo Calvino
382,Crash: A Novel,6.0,J. G. Ballard
383,A Dance to the Music of Time,6.0,Anthony Powell
384,Waiting for the Barbarians,6.0,J M Coetzee
385,The House of the Spirits,6.0,Isabel Allende
386,Love Medicine,6.0,Louise Erdrich
387,Satanic Verses,6.0,Salman Rushdie
388,All the Pretty Horses,6.0,Cormac McCarthy
389,The Stone Diaries,6.0,Carol Shields
390,The Shipping News,6.0,E. Annie Proulx
391,The Chronicles of Narnia,6.0,C. S. Lewis
392,A Wrinkle In Time,6.0,Madeleine L'Engle
393,The Decline and Fall of the Roman Empire,6.0,Edward Gibbon
394,The Gulag Archipelago,6.0,Aleksandr Solzhenitsyn
395,The History of the Peloponnesian War,6.0,Thucydides
396,Summa Theologica,6.0,Thomas Aquinas
397,A Death in the Family ,6.0,James Agee
398,A Midsummer Night's Dream ,6.0,William Shakespeare
399,The Education of Henry Adams,6.0,Henry Adams
400,The Affluent Society,6.0,John Kenneth Galbraith
401,Maus,6.0,Art Spiegelman
402,"The Lion, The Witch and the Wardrobe ",6.0,C. S. Lewis
403,Analects,6.0,Confucius
404,The Bacchae,6.0,Euripides
405,On Liberty,6.0,John Stuart Mill
406,The Making of the Atomic Bomb,6.0,Richard Rhodes
407,Tao Te Ching,6.0,Lao Tsu
408,Persepolis,6.0,Marjane Satrapi
409,Romeo and Juliet,6.0,William Shakespeare
410,The Golden Bowl,6.0,Henry James
411,Common Sense,6.0,Thomas Paine
412,A Vindication of the Rights of Woman,6.0,Mary Wollstonecraft
413,Lolita,5.0,Vladimir Nabokov
414,The Hunger Games,5.0,Suzanne Collins
415,The Godfather,5.0,Mario Puzo
416,Interpreter of Maladies,5.0,Jhumpa Lahiri
417,Catch-22,5.0,Joseph Heller
418,The Giver,5.0,Lois Lowry
419,Bridget Jones's Diary,5.0,Helen Fielding
420,Stranger in a Strange Land,5.0,"Heinlein, Robert A."
421,Angle of Repose,5.0,"Stegner, Wallace"
