,Title,Listed count
539,Black Lamb and Grey Falcon,4.0
540,Jesus' Son,4.0
541,Cathedral,4.0
542,Songs of Innocence and Experience,4.0
543,Moveable Feast,4.0
544,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,4.0
545,Breakfast at Tiffany's,4.0
546,The Once and Future King,4.0
547,On Writing,4.0
548,Revolutionary Road,4.0
549,The Alexandria Quartet ,4.0
550,Bartleby the Scrivener,4.0
551,Death of Virgil,4.0
552,The Tartar Steppe,4.0
553,Seven Against Thebes,4.0
554,The Persians,4.0
555,The Suppliants,4.0
556,Ajax,4.0
557,Philoctetes,4.0
558,Women of Trachis,4.0
559,Annals,4.0
560,Ethics,4.0
561,Parallel Lives,4.0
562,Moll Flanders,4.0
563,Ivanhoe,4.0
564,The House of the Seven Gables,4.0
565,Oblomov,4.0
566,Thérèse Raquin,4.0
567,Wings of the Dove,4.0
568,The Confusions of Young Törless,4.0
569,The Old Wives' Tale,4.0
570,The Thirty-Nine Steps,4.0
571,The Autobiography of Alice B. Toklas,4.0
572,Under the Net ,4.0
573,I'm Not Stiller,4.0
574,The Quiet American ,4.0
575,Giovanni's Room,4.0
576,Cider with Rosie,4.0
577,The Spy Who Came in From the Cold ,4.0
578,The Electric Kool-Aid Acid Test,4.0
579,Do Androids Dream of Electric Sheep?,4.0
580,Humboldt's Gift,4.0
581,"Life, a User's Manual",4.0
582,The Lover,4.0
583,An Artist of the Floating World ,4.0
584,The New York Trilogy,4.0
585,Oscar and Lucinda,4.0
586,Amongst Women,4.0
587,Birdsong,4.0
588,The Human Stain,4.0
589,Everything Is Illuminated,4.0
590,Suite Française,4.0
591,Home,4.0
592,The White Tiger,4.0
593,Angela's Ashes: A Memoir,4.0
594,A Thousand Acres,4.0
595,The Second World War,4.0
596,The Liberal Imagination,4.0
597,R. E. Lee,4.0
598,The Seven Storey Mountain,4.0
599,The Golden Bough,4.0
600,Philosophical Investigations,4.0
601,Phèdre,4.0
602,Civilization and Its Discontents,4.0
603,Corpus Aristotelicum,4.0
604,Life on the Mississippi,4.0
605,The Souls of Black Folk,4.0
606,The Varieties of Religious Experience,4.0
607,Being and Nothingness,4.0
608,The Feminine Mystique,4.0
609,Night,4.0
610,Trojan Women,4.0
611,The Prelude,4.0
612,Civil Disobedience,4.0
613,NW: A Novel,4.0
614,The Heart of the Matter ,4.0
